arm,lr,seed,step,train_loss,val_loss,lr_now,wall_s
adam_mini,0.03,1,100,3.212042808532715,3.2215638756752014,0.02587788800119646,2.96
adam_mini,0.03,1,150,3.080620903968811,3.0648321509361267,0.018998781461103644,4.4
adam_mini,0.03,1,200,2.9882401704788206,3.0118061304092407,0.01129751490707695,5.71
adam_mini,0.03,1,250,2.9313714265823365,2.9547617435455322,0.005307992770506938,6.98
adam_mini,0.03,1,300,2.8827312278747557,2.9182644486427307,0.0030009138419492105,8.57
adam_mini,0.1,0,50,3.446335015296936,3.379869818687439,0.09890480260828965,1.22
adam_mini,0.1,0,100,3.2717573690414428,3.2910391688346863,0.08625962667065488,2.59
adam_mini,0.1,0,150,3.2319869375228882,3.253452956676483,0.06332927153701216,4.44
adam_mini,0.1,0,200,3.180873727798462,3.194258391857147,0.03765838302358984,5.77
adam_mini,0.1,0,250,3.147984280586243,3.1744494438171387,0.017693309235023127,7.03
adam_mini,0.1,0,300,3.118691062927246,3.1521442532539368,0.010003046139830702,8.56
adam_mini,0.1,1,50,3.4247273635864257,3.213391661643982,0.09890480260828965,1.87
adam_mini,0.1,1,100,3.175652952194214,3.201776683330536,0.08625962667065488,3.13
adam_mini,0.1,1,150,3.1278540897369385,3.1513243317604065,0.06332927153701216,4.86
adam_mini,0.1,1,200,3.1040388917922974,3.156015396118164,0.03765838302358984,6.11
adam_mini,0.1,1,250,3.122665762901306,3.148308515548706,0.017693309235023127,7.24
adam_mini,0.1,1,300,3.0822035217285157,3.1046016812324524,0.010003046139830702,8.37
signum,0.001,0,50,3.8846551465988157,3.564079463481903,0.0009890480260828964,1.33
signum,0.001,0,100,3.315904965400696,3.161240041255951,0.0008625962667065488,2.35
signum,0.001,0,150,3.0191595363616943,2.955085515975952,0.0006332927153701216,3.37
signum,0.001,0,200,2.8702240657806395,2.8459465503692627,0.00037658383023589836,4.65
signum,0.001,0,250,2.7849257135391237,2.794531524181366,0.00017693309235023127,6.06
signum,0.001,0,300,2.747209553718567,2.7717902660369873,0.00010003046139830702,7.28
signum,0.001,1,50,3.907910032272339,3.6214373111724854,0.0009890480260828964,1.07
signum,0.001,1,100,3.363686466217041,3.2072229385375977,0.0008625962667065488,2.08
signum,0.001,1,150,3.0524896574020386,2.994287669658661,0.0006332927153701216,3.41
signum,0.001,1,200,2.893600149154663,2.8777634501457214,0.00037658383023589836,4.44
signum,0.001,1,250,2.8150889396667482,2.8227707743644714,0.00017693309235023127,5.46
signum,0.001,1,300,2.7726570320129396,2.791313350200653,0.00010003046139830702,6.49
